aX,aY,aZ,gX,gY,gZ
-1.010,0.804,-0.054,-1.820,2.520,-8.330
-1.005,0.813,-0.056,-0.910,3.010,1.330
-0.999,0.813,-0.060,-0.140,3.150,14.350
-0.984,0.812,-0.055,-0.070,3.290,23.380
-0.970,0.811,-0.057,0.000,3.430,32.270
-0.947,0.815,-0.061,-0.210,3.360,40.180
-0.920,0.812,-0.063,-0.770,3.430,50.330
-0.895,0.811,-0.059,-1.330,3.500,57.260
-0.859,0.809,-0.061,-2.030,3.640,63.490
-0.829,0.806,-0.061,-2.660,3.780,69.020
-0.813,0.802,-0.064,-3.150,3.920,75.530
-0.793,0.792,-0.058,-3.570,4.200,79.800
-0.766,0.790,-0.055,-4.340,3.920,83.370
-0.744,0.791,-0.054,-4.830,3.780,86.800
